Time[s],Pressure[atm]
2.13,30.47
2.24,30.47
2.35,30.46
2.45,30.46
2.56,30.46
2.66,30.45
2.77,30.45
2.88,30.44
2.98,30.44
3.09,30.44
3.19,30.43
3.3,30.43
3.4,30.42
3.51,30.42
3.62,30.41
3.72,30.41
3.83,30.4
3.93,30.4
4.04,30.4
4.15,30.39
4.25,30.38
4.36,30.38
4.46,30.38
4.57,30.37
4.67,30.37
4.78,30.36
4.89,30.36
4.99,30.36
5.1,30.35
5.2,30.35
5.31,30.34
5.42,30.34
5.52,30.34
5.63,30.33
5.73,30.33
5.84,30.32
5.95,30.32
6.05,30.32
6.16,30.31
6.26,30.31
6.37,30.3
6.47,30.3
6.58,30.29
6.69,30.29
