Time[s],Pressure[atm]
0.55,28.18
0.65,28.18
0.76,28.18
0.86,28.18
0.97,28.18
1.08,28.18
1.18,28.18
1.29,28.18
1.39,28.18
1.5,28.18
1.61,28.18
1.71,28.18
1.82,28.18
1.92,28.18
2.03,28.18
2.13,28.18
2.24,28.18
2.35,28.18
2.45,28.18
2.56,28.18
2.66,28.18
2.77,28.18
2.88,28.18
2.98,28.18
3.09,28.18
3.19,28.18
3.3,28.18
3.41,28.18
3.51,28.18
3.62,28.18
3.72,28.18
3.83,28.18
3.93,28.18
4.04,28.18
4.15,28.18
4.25,28.18
4.36,28.18
4.46,28.18
4.57,28.18
4.68,28.18
4.78,28.17
4.89,28.17
4.99,28.17
5.1,28.17
5.2,28.17
5.31,28.17
5.42,28.17
5.52,28.17
5.63,28.17
5.73,28.17
5.84,28.17
5.95,28.17
6.05,28.17
6.16,28.17
6.26,28.17
6.37,28.17
6.47,28.17
6.58,28.17
6.69,28.17
6.79,28.17
6.9,28.17
7.0,28.17
7.11,28.17
7.22,28.17
7.32,28.17
7.43,28.17
7.53,28.17
7.64,28.17
7.74,28.17
7.85,28.17
7.96,28.16
8.06,28.16
8.17,28.16
8.27,28.16
8.38,28.16
8.49,28.16
8.59,28.16
8.7,28.16
8.8,28.16
8.91,28.16
9.01,28.16
9.12,28.16
9.23,28.16
9.33,28.16
9.44,28.16
9.54,28.16
9.65,28.16
9.76,28.16
9.86,28.16
9.97,28.16
10.07,28.16
10.18,28.16
10.28,28.16
10.39,28.16
10.5,28.16
10.6,28.16
10.71,28.16
10.81,28.16
10.92,28.16
11.03,28.15
11.13,28.16
11.24,28.15
11.34,28.15
11.45,28.15
11.56,28.15
11.66,28.15
11.77,28.15
11.87,28.15
11.98,28.15
12.09,28.15
12.19,28.15
12.3,28.15
12.4,28.15
12.51,28.15
12.61,28.15
12.72,28.14
12.83,28.14
12.93,28.14
13.04,28.14
13.14,28.14
13.25,28.14
13.36,28.14
13.46,28.14
13.57,28.14
13.67,28.14
13.78,28.14
13.89,28.14
13.99,28.14
14.1,28.14
14.2,28.14
14.31,28.13
14.41,28.13
14.52,28.13
14.63,28.13
14.73,28.13
14.84,28.13
14.94,28.13
15.05,28.13
15.16,28.12
15.26,28.12
15.37,28.12
15.47,28.12
15.58,28.12
15.69,28.12
15.79,28.12
15.9,28.12
16.0,28.12
16.11,28.12
16.22,28.12
16.32,28.12
16.43,28.12
16.53,28.12
16.64,28.14
16.74,28.23
16.85,28.39
16.96,28.59
17.06,28.82
17.17,29.06
17.27,29.31
17.38,29.55
17.49,29.78
17.59,29.99
17.7,30.18
17.8,30.35
17.91,30.51
18.02,30.65
18.12,30.78
18.23,30.89
18.33,31.0
18.44,31.09
18.54,31.18
18.65,31.26
18.76,31.33
18.86,31.39
18.97,31.43
19.07,31.43
19.18,31.4
19.29,31.36
19.39,31.31
19.5,31.26
