Time[s],Pressure[atm]
0.44,30.17
0.55,30.17
0.65,30.17
0.76,30.17
0.86,30.16
0.97,30.16
1.08,30.16
1.18,30.16
1.29,30.15
1.39,30.15
1.5,30.15
1.61,30.14
1.71,30.14
1.82,30.14
1.92,30.13
2.03,30.13
2.13,30.12
2.24,30.12
2.35,30.11
2.45,30.11
2.56,30.11
2.66,30.1
2.77,30.1
2.88,30.1
2.98,30.09
3.09,30.09
3.19,30.08
